,SRX1756756,SRX1756757,SRX1756758,SRX1756759,SRX1756760,SRX1756761,SRX2148419,SRX2148420,SRX2148421,SRX2148422,SRX219169,SRX219170,SRX347228,SRX347229,SRX345240,SRX345241,SRX345242,SRX345243,SRX2787771,SRX2787772,SRX1056790,SRX1056792,SRX1056794
14,-8.74456e-05,-0.00010575261,-7.7912584e-05,-5.701324e-05,-3.83663e-05,-5.6843273e-05,-4.2629894e-05,-6.1594415e-05,-0.00017887913,-0.00014600856,-5.044602e-05,-3.385078e-05,-7.14967e-05,-2.18153e-05,-7.175561e-05,-4.3991953e-05,-2.4726149e-05,3.790483e-07,-8.2374085e-05,-7.012766e-05,-6.1646104e-05,-8.03452e-05,-0.00016963435
15,-1.38627365e-05,-2.626516e-05,3.870111e-05,2.4777837e-05,2.5535934e-05,5.8987178e-05,1.2933277e-05,9.954348e-05,7.873401e-06,-2.6579015e-05,1.3933517e-05,7.3617324e-05,2.0920299e-05,8.820556e-06,3.1013042e-07,3.2213517e-05,8.1279315e-05,2.9146671e-05,-4.1811727e-05,4.0903687e-06,2.8475188e-05,0.00019220077,2.370216e-06
16,2.6645139e-05,4.317984e-05,3.8022175e-05,7.911585e-06,3.97237e-05,1.9084662e-05,-4.6259724e-05,-6.519351e-05,-0.00018420629,-0.00021354575,4.6316534e-05,5.9781596e-06,0.00012421794,0.00016151462,0.00018140953,8.122437e-05,0.00013463758,0.0001120707,7.798523e-05,8.273963e-05,9.596348e-06,1.5934929e-06,-8.614175e-05
17,8.989032e-05,0.000121845864,6.936956e-05,9.658933e-05,6.061513e-05,5.834084e-05,8.187909e-05,5.829241e-05,0.00012849178,0.00012883544,8.728262e-05,3.611669e-06,5.9183687e-05,4.3746084e-05,0.0001287451,0.00015083235,-1.2150966e-05,7.356983e-05,9.82061e-05,0.00012145471,4.184991e-05,8.912757e-06,5.799625e-05
18,9.412225e-05,3.122352e-05,5.3880736e-05,1.5170313e-05,6.413553e-05,3.3388846e-05,-1.3837591e-05,2.97511e-05,-8.9469366e-05,2.9454939e-05,1.2758188e-05,4.4667162e-05,8.911081e-05,7.224642e-05,8.43266e-05,-3.4831464e-06,7.318985e-05,3.3555552e-05,-6.4317137e-06,-1.8513761e-05,5.275011e-06,7.6578e-05,-2.1647662e-05
19,7.905066e-06,-2.1828339e-05,-4.9646012e-05,-1.4960766e-05,1.8130057e-05,-1.2264587e-05,2.7203001e-05,-7.909723e-06,-5.6015328e-05,-8.5764565e-05,-4.0585175e-05,6.8638474e-06,4.9020164e-05,5.5865385e-05,3.5408884e-06,1.26240775e-05,4.235655e-05,2.5247224e-05,-2.161786e-05,-1.1620112e-05,-4.5386143e-05,-2.6104972e-06,-7.1019866e-05
20,1.4078338e-05,2.5976915e-05,-2.3734756e-06,2.902234e-05,5.846331e-05,6.7276414e-05,0.00015318533,0.00012868969,0.000128482,0.000100197736,-3.191363e-05,1.1240132e-05,-3.8919505e-05,5.886145e-05,5.850289e-05,5.8978796e-05,0.000108428765,0.00013093837,0.00011677947,9.4231684e-05,7.9508405e-05,8.975528e-05,7.4085314e-05
21,-1.2622215e-05,-5.110167e-06,-2.285e-05,-3.4319237e-06,-4.277844e-05,-9.510666e-05,2.5548972e-05,4.1900203e-06,0.000104453415,0.0001564268,2.6184134e-05,-6.531179e-05,1.9383617e-05,-5.2237883e-06,-8.807331e-05,-8.988194e-06,-5.41145e-05,-9.368267e-05,9.754393e-05,7.179752e-05,-7.338077e-05,-8.121133e-07,0.0001027165
22,8.0428086e-05,6.7132525e-05,4.001707e-05,5.1688403e-06,1.0853633e-05,1.4252029e-05,3.8832426e-05,8.065067e-05,-3.2635406e-05,-3.6922283e-05,-1.2665056e-05,8.040108e-05,5.9484504e-05,7.290766e-05,0.00012119301,7.914379e-06,0.00020295382,9.8517165e-05,3.692042e-05,7.733144e-05,-9.214785e-05,0.000107426196,-8.5193664e-05
23,0.000105600804,0.00012792833,0.00010987744,9.9791214e-05,6.20503e-05,6.355345e-05,-9.580888e-05,-0.00011272542,-0.00014258921,-8.0905855e-05,0.00015657209,0.00013363548,0.00015459955,8.79392e-05,0.00011078827,0.00011428632,9.93181e-05,0.00010132231,0.00012798794,0.0001678355,-4.209578e-06,-0.00010996126,2.4687499e-05
24,9.937119e-05,4.553399e-05,3.3441e-05,4.189601e-05,9.514252e-05,9.395834e-05,8.156593e-05,0.00010483479,7.797056e-05,0.00021047448,5.5189477e-05,3.9533246e-05,5.09948e-05,3.365823e-05,5.7300553e-05,2.5803456e-05,2.6618363e-05,1.9456493e-05,-1.919549e-05,2.9494055e-05,7.651979e-05,6.66976e-05,8.561648e-06
25,5.098467e-06,-1.222553e-05,-6.7635556e-06,-2.0944222e-05,-7.7539065e-05,-8.441176e-05,-0.00010879262,-0.0001486708,-8.3316176e-05,-7.4301905e-05,3.3438846e-05,-2.6240188e-05,2.4201407e-05,-2.0034087e-05,-2.2113963e-05,-1.5194702e-05,-9.183731e-05,-8.951902e-05,-6.733189e-05,-5.2911404e-05,-6.937882e-05,-0.00024631264,-5.7089666e-05
26,6.545894e-05,3.960915e-05,8.421112e-05,8.968636e-06,1.8282793e-05,5.5984594e-05,-3.485009e-06,-6.493181e-06,-5.1148236e-05,-0.00012891181,1.2946315e-05,0.000112241134,6.92131e-05,0.00014364813,5.961582e-05,5.0955452e-05,0.00022402778,0.00012934394,6.6005625e-05,4.839059e-05,-1.3938174e-05,0.0001195427,-0.00011482183
27,2.5317073e-05,-3.4619123e-05,-1.7689541e-05,-1.6743317e-05,-2.142787e-05,2.3806468e-05,-7.5069256e-05,-9.6983276e-05,-0.00022977032,-0.0002969848,4.0908344e-05,0.00011250656,1.2567267e-05,8.652173e-05,2.8051436e-05,4.759524e-05,0.00013945345,0.00020812731,-7.307995e-05,-3.2791868e-05,-6.585661e-05,5.9941784e-05,-0.00027163327
28,-4.61787e-05,4.022685e-05,-3.1088246e-05,3.8791215e-05,-1.2637582e-05,3.6113663e-05,4.813727e-05,2.0487234e-05,0.00014672801,0.00019383524,0.000117472606,-5.8719423e-05,-1.4091609e-05,-0.00012490107,-9.2298724e-05,4.876405e-06,-0.00010711211,-7.719919e-05,3.9014034e-05,2.4793204e-05,-3.9935112e-05,7.260381e-05,0.00015169731
