,SRX10965462,SRX10965461,SRX10965460,SRX10965459,SRX10965458,SRX10965457,SRX10965436,SRX10965435,SRX10965434,SRX10965433,SRX10965432,SRX10965431,SRX10965430,SRX10965429,SRX10965428,SRX10965427,SRX10965426,SRX10965425,SRX10965424,SRX10965423,SRX10965422,SRX10965465,SRX10965464,SRX10965463,SRX12196740,SRX12196739,SRX12196738,SRX12196737,SRX12196736,SRX12196735,SRX12196734,SRX12196733,SRX12196732,SRX12196731,SRX12196720,SRX12196719,SRX12196718,SRX12196717,SRX12196716,SRX12196715,SRX12196714,SRX12196713,SRX12196712,SRX12196711,SRX12196700,SRX12196699,SRX12196698,SRX12196697,SRX12196696,SRX12196695,SRX12196694,SRX12196693,SRX12196692,SRX12196691,SRX311785,SRX311784,SRX311783,SRX311782,SRX311781,SRX311780,SRX971773,SRX971772,SRX971771,SRX971770,SRX160516,SRX160515,SRX160514
11,-1.4459714e-05,0.00013558567,-7.823575e-06,3.3913646e-05,-2.6517082e-05,3.054738e-06,-7.0900656e-05,5.0277915e-05,3.451854e-05,2.3332424e-05,3.5276636e-05,1.0420103e-05,1.1554919e-05,-3.318768e-06,2.7886592e-05,2.0391773e-05,4.549604e-05,1.5870668e-05,-1.937151e-07,1.2331177e-05,-5.765818e-06,4.024245e-06,2.2506807e-05,5.529588e-05,9.649666e-05,7.727649e-06,4.0942803e-05,4.904298e-05,3.9656647e-05,6.6759996e-05,2.3999251e-05,0.00010963762,8.836202e-05,5.3932425e-05,2.0654872e-05,-7.526437e-05,7.6607335e-05,-9.082723e-06,4.1222665e-05,-6.470224e-05,7.06194e-05,7.186225e-05,4.8181973e-05,4.6219677e-05,2.6018359e-05,6.739143e-05,6.127404e-05,0.00010648789,4.4741202e-05,1.6405247e-06,6.597489e-06,0.000112889335,-2.7855858e-05,-6.0112216e-06,-4.0519517e-05,3.3061486e-05,9.358395e-06,-6.0081016e-05,7.903669e-06,9.43332e-05,1.3550743e-06,4.6000816e-05,0.00010851212,3.583776e-05,-3.2265205e-05,2.0095147e-05,-2.054032e-06
12,-7.679034e-05,-5.0858594e-05,-0.00012550782,-0.00014576036,-4.732143e-05,-5.123671e-06,-8.533755e-05,-1.6109087e-05,-6.016763e-05,-0.00011073286,2.3905654e-05,-6.5784436e-05,-1.3359822e-05,-7.585343e-05,-4.3371692e-05,-6.773695e-05,-0.00011534337,-9.656884e-06,-7.2054565e-05,-0.000101365615,-9.105727e-05,-3.4308992e-05,-6.908458e-05,-2.4997164e-05,-7.8512356e-05,-0.000114522874,-7.1846414e-05,-2.8989278e-05,-5.658809e-05,-0.00010932004,-6.302446e-05,-0.00012915535,-6.3248444e-05,1.8055085e-05,-0.00010585692,-0.000125058,-7.507857e-05,-0.0001189895,-1.4336314e-05,-1.0384247e-07,-0.000170351,-9.29907e-05,-1.2408011e-05,-0.00012030499,-5.846098e-05,3.4268014e-05,-0.00011275895,4.751887e-05,-4.0042214e-05,3.7976075e-05,3.8910657e-06,7.905578e-05,-5.3057447e-05,-7.272698e-05,-6.641727e-05,-2.03792e-05,-0.00010750955,-3.867224e-05,-9.9601224e-05,-9.000022e-05,-1.5509315e-05,-0.0001224,-5.695969e-05,-0.00012454251,-7.2554685e-05,-4.1149557e-05,-0.000115131494
13,-3.452244e-05,9.455194e-06,-8.422654e-05,8.258078e-05,-8.893106e-05,9.499607e-06,-1.136458e-05,3.340398e-05,-3.634987e-05,1.1755095e-05,2.070918e-05,1.9840489e-05,9.596406e-06,-6.4034015e-05,-0.00013431784,-7.0330454e-05,-4.7423062e-05,-2.268859e-05,-5.2223913e-05,-1.0309683e-05,-6.2846404e-05,6.3500425e-05,-2.886611e-05,6.0011516e-06,-2.6224181e-05,-2.8502662e-05,-9.252853e-05,-8.989603e-05,1.730828e-05,-3.636931e-06,-0.00012265274,-4.931714e-05,-6.996037e-05,-7.262884e-05,-5.4250588e-05,1.0485528e-06,3.072963e-05,-6.6534034e-05,-4.1470048e-05,-0.000120597484,-1.4718738e-05,9.483774e-06,-9.258767e-05,-4.772155e-06,1.3298122e-06,-2.6322727e-05,-8.890638e-05,0.00013219198,6.496452e-05,7.851282e-05,5.0047995e-05,2.5388086e-05,-2.6278372e-05,-5.666574e-05,6.631727e-05,-1.1146767e-05,1.3004697e-05,-2.4832552e-05,-5.895074e-05,-3.4071156e-05,-2.086925e-05,-7.7094126e-05,4.666479e-05,-5.1208306e-05,5.8825128e-05,-3.3780176e-05,1.9798172e-06
14,-3.8348837e-05,1.3467623e-05,-2.613524e-06,-5.092006e-06,-1.9446714e-05,-5.4246513e-05,-9.654369e-05,4.0693674e-05,-6.552413e-05,-3.592111e-05,4.557846e-05,4.602573e-05,-4.394492e-05,-3.203447e-05,-4.0812884e-05,-1.9836472e-05,-2.418249e-05,-2.0088628e-05,-5.697366e-07,-4.1949563e-05,-0.00011388818,-4.4688582e-05,-1.2289733e-05,-6.0018152e-05,2.4117297e-05,-2.8209994e-05,-3.0534342e-05,-3.312109e-05,-4.6984293e-05,7.2063413e-06,5.8941776e-05,1.112069e-05,-4.0140934e-05,-1.0007527e-05,-3.7881546e-07,-6.909622e-05,4.2955857e-05,-3.8158847e-05,-2.3552682e-05,5.296897e-06,-1.0339078e-05,-9.0341084e-05,-5.463604e-06,1.3285317e-06,2.7561793e-05,3.0482654e-05,4.828442e-06,-5.6018587e-05,-3.281841e-05,-4.8778253e-05,-5.7611614e-06,6.3839834e-05,-6.292318e-05,-5.103438e-05,1.7836224e-05,-4.5025256e-05,2.3522647e-05,1.1265511e-05,8.3995285e-05,1.5604775e-05,-0.0001274941,-2.5210436e-05,3.6583748e-05,-3.457698e-05,2.930942e-05,-2.878299e-05,1.6845763e-05
15,3.6743004e-05,-0.00016043801,-2.0214356e-06,-3.9491802e-05,-7.370999e-05,-6.005494e-05,-5.7875644e-05,-8.019013e-05,-1.897104e-05,2.280064e-05,-0.00012736209,-4.0673185e-05,-0.000115171075,-8.3663035e-05,-9.5352996e-05,1.2237113e-05,-0.00011872314,-0.000110425055,-0.00010265224,-5.09643e-05,3.3175573e-05,-5.7826284e-05,9.173062e-06,-5.826773e-05,-8.095056e-05,-8.810405e-05,-6.9871545e-05,-6.2360894e-05,-5.120039e-05,-0.000108052045,-6.713066e-05,-3.6315992e-05,-4.1091815e-05,-4.725298e-05,-2.9493123e-05,-8.572405e-05,-5.22309e-05,-5.9966464e-05,-0.000106668565,-8.694548e-05,-1.7152634e-05,-8.214405e-05,-3.7022866e-05,-9.571761e-05,6.3857995e-05,-1.927372e-05,-7.895194e-05,-7.124711e-05,-1.3913494e-05,4.5274384e-05,-2.5865622e-05,-5.3338706e-05,-7.2407536e-05,2.5676098e-05,-8.9240726e-05,-6.71898e-05,-3.9756298e-05,-0.000107868575,-0.00012116134,-0.0001886175,-0.000108801294,-0.00016419217,-8.323742e-05,-0.00014354615,-8.692546e-05,-8.691428e-05,-5.5367593e-05
16,3.3053802e-05,9.185588e-05,8.501066e-05,5.251472e-05,4.4849934e-05,9.629503e-05,4.650792e-06,5.157478e-05,-8.142204e-05,2.6578782e-05,1.1770986e-05,6.829994e-05,-1.4395453e-05,9.93954e-07,0.00010294048,5.7342462e-05,2.5004847e-05,3.219815e-05,5.8642123e-05,-3.0196039e-05,5.996041e-05,3.9338833e-05,7.708417e-05,2.1834392e-05,3.574672e-05,1.9634841e-05,1.1278782e-05,2.6033726e-05,5.6525925e-05,8.155266e-05,1.966022e-06,-3.6680605e-05,-4.4745393e-06,9.431504e-06,4.7813402e-05,-5.78817e-06,8.379342e-06,5.994574e-05,1.4129095e-05,2.4506357e-05,-1.0033371e-05,2.2954773e-05,2.1886546e-05,-4.9612485e-05,-6.3315965e-05,2.893922e-05,3.0483818e-05,1.18033495e-05,1.19586475e-05,-5.8164354e-05,-8.0678146e-05,6.141141e-06,-5.9021637e-05,-4.2247586e-05,3.2080337e-05,5.5668876e-05,5.5382727e-05,8.6426735e-07,6.125262e-05,-4.436774e-05,-3.4760218e-05,0.00014944514,7.545855e-05,0.00011091889,3.341539e-05,5.0891424e-05,6.6404464e-05
17,-4.516146e-05,1.4223624e-06,1.880282e-05,-4.7008507e-07,-9.055133e-06,-5.201553e-06,2.894958e-05,4.6935398e-05,8.4125786e-05,-8.528936e-06,3.7282705e-05,4.665926e-07,-3.7150458e-06,-2.7872738e-05,-2.4630106e-05,0.00011719577,2.9367744e-05,6.072782e-05,2.0801555e-05,-3.5321573e-06,-1.073163e-05,1.2977631e-05,6.330747e-05,6.9976086e-06,-5.7222438e-05,-2.7898466e-05,2.6052003e-05,5.4994714e-05,-3.9627426e-05,1.7706887e-05,2.2605062e-05,-3.3620745e-06,9.426067e-05,5.965156e-05,3.1066127e-05,-6.953417e-05,1.5627244e-05,-2.7631177e-06,5.7637226e-06,-5.038106e-05,3.05929e-05,-5.491311e-07,-1.3068784e-06,3.0473107e-05,1.5866593e-05,-2.6184134e-06,8.5508334e-05,9.447918e-06,-1.2947712e-05,1.3021636e-05,5.444663e-05,4.0051178e-05,8.031202e-05,4.0818704e-05,2.270902e-05,3.4220284e-05,6.189104e-06,4.9706665e-05,-1.3423269e-05,3.7391786e-05,7.361348e-05,0.00013175618,3.864453e-05,-5.3561525e-06,2.3283763e-05,3.882579e-05,-8.666189e-06
18,5.072262e-05,-6.680726e-05,-0.000117231626,-3.96932e-05,-6.0438877e-05,-0.000104971696,-2.483488e-05,-6.194692e-05,-7.698033e-05,2.99206e-05,-9.0633985e-06,-6.0330844e-05,-4.957174e-05,-4.255795e-05,-3.6558835e-05,-5.6855846e-05,-9.43176e-05,5.755294e-05,-7.91084e-05,2.1827873e-06,7.887138e-06,-3.2759272e-06,-1.7357524e-05,3.1921547e-05,3.5625882e-05,5.1458832e-05,2.8892653e-05,6.364542e-05,7.551722e-05,1.43714715e-05,-3.0752271e-06,3.730855e-05,-2.5718007e-05,2.7627684e-05,3.1025847e-05,8.906284e-05,5.2587595e-05,-8.497387e-06,5.6814402e-05,-1.43370125e-05,9.062933e-06,8.282764e-05,2.5208108e-05,7.900898e-05,-3.5166275e-05,-5.3967116e-05,6.806804e-06,-4.7963113e-08,9.889482e-06,1.4811987e-05,-1.5316997e-05,1.6150763e-05,-1.239893e-05,-4.0122075e-05,-1.3123965e-05,-1.4516525e-05,-5.2610878e-05,2.011354e-05,1.0323245e-05,-2.66172e-05,2.9347837e-05,3.5665696e-05,-7.746671e-05,1.903344e-05,-1.8332154e-05,-5.6875404e-05,-3.498653e-05
19,-2.1058135e-05,1.8799677e-05,0.00013446994,-1.7016195e-05,5.7821628e-05,5.414989e-05,7.253047e-05,2.0532869e-05,3.6176294e-05,2.8663315e-05,2.2387132e-05,3.1753443e-05,7.3100906e-05,4.669046e-05,5.614618e-05,4.3347944e-05,0.00015222421,0.00012530945,7.0687383e-07,-7.84453e-06,2.4429057e-05,3.095623e-05,-1.3129786e-05,2.9546209e-05,3.0491501e-05,8.761883e-05,5.25387e-05,7.963693e-05,-6.216578e-07,9.209849e-06,-7.0338137e-06,4.2513944e-05,-4.172977e-05,-3.0477531e-05,1.8579885e-07,2.0756852e-05,-5.5021606e-05,3.2911077e-05,2.8383452e-05,7.293234e-05,-2.1825545e-06,-8.652452e-06,5.6145247e-05,4.9381983e-05,-3.1890813e-05,1.5356112e-05,0.00013061892,6.219279e-05,5.181087e-05,2.0839274e-05,6.0955063e-06,-4.0764455e-05,7.464085e-05,4.4442713e-06,-4.7568232e-05,-2.5554094e-05,-6.0182065e-05,8.121319e-05,6.4090826e-05,7.0821494e-05,2.1050218e-05,1.8538442e-05,-0.0001181378,3.561005e-05,-4.1176565e-05,-3.180513e-05,-5.0270464e-05
20,5.751662e-05,1.2040138e-05,3.7974212e-05,1.7039478e-05,4.6558212e-05,0.00010920316,0.00012859609,-3.4817494e-06,1.6701408e-05,8.886494e-05,0.00013061706,4.8961956e-05,9.2566945e-05,2.6531983e-05,5.8268197e-05,8.127652e-06,1.3803132e-05,4.2045955e-05,2.2123102e-05,4.8921444e-05,5.689636e-05,2.0169653e-05,9.948248e-05,9.747781e-05,2.1575019e-05,2.1876302e-05,7.0929527e-06,4.9611554e-06,2.7394854e-05,4.1867606e-05,6.763637e-05,4.7300942e-05,2.7846545e-06,6.6294335e-05,2.5006942e-05,8.005276e-05,5.5845827e-05,2.2333115e-06,2.7297065e-05,-1.3292301e-05,1.9826926e-05,2.0683743e-05,4.284177e-05,1.4875084e-05,0.00010402175,9.0620946e-05,1.27120875e-05,-1.5664846e-06,5.6386925e-06,3.1394884e-05,8.818647e-05,3.4337863e-06,6.2318984e-05,1.5986152e-06,4.7568232e-05,9.581167e-05,4.3203123e-05,6.756419e-05,4.35994e-05,8.527329e-05,-1.0391232e-05,-7.364713e-05,3.1136442e-05,1.2119766e-05,4.795054e-05,9.259023e-05,5.8078207e-05
